Average Temp 2019-2022 Al New York Counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,,,,,,,
New York,19.4,24.2,29.5,44.5,54.2,62.9,71,66.6,60.3,50.2,32.8,27.3,27.7,26.6,37.2,41.1,54.2,65.2,75.7,68.6,59.6,49,41.9,29.8,24,21.7,35,45.7,54.7,67.1,67.7,70.5,61.7,54.8,37,32.8,15.8,23.8,33.8,43.8,58.6,63.8,69.7,70,60.5,49,41,29,,,,,,,
Albany County,21.7,26.2,32.2,47.5,56.6,64.8,72.3,68.7,61.1,51.8,35,28,29.8,30.1,39.8,43.7,56.8,67.3,72.9,69.9,60.9,51.2,42.2,31.3,25.4,24,36.2,48,56.6,68.2,69.6,71.3,63.3,55.8,38.2,35.4,19,26.3,35.5,46.2,60.4,65.3,72.1,72.8,61.9,50.6,42.8,30.7,,,,,,,
Allegany County,20.6,26.1,30,45,56,62.6,70.4,66.3,61.4,50.7,33.4,28.9,28.4,27.4,38.6,41.1,53.6,64.9,74.3,68.3,59.4,48.9,42.6,29.3,26,22,36.8,46.1,54.3,66.8,67.9,70.2,61.8,55.8,37.1,34,16.9,24.2,34.7,44.4,58,64.6,68.8,68.9,60.8,47.9,40.6,28.3,,,,,,,
Bronx County,32.2,35.4,40.3,53.8,61.4,71.5,79.8,75.7,70,59.6,43,37.8,38.7,39.5,47,49.4,59.6,73.4,71.9,77.2,68.6,58,51.7,38.8,34.7,33.2,44.4,53.2,61.6,73.6,76.2,77.4,70.4,62.6,46,43.1,30,36,43.9,51.5,63.6,71,79.5,79.2,69.3,56.6,49.9,37.4,,,,,,,
Broome County,21.1,26.3,30.7,46.2,55.6,63,71.2,66.5,60.9,50.7,33.4,28,28.8,28.5,38.3,40.8,54,64.9,80.6,68.9,60.1,49.9,42.5,30,25,23.5,35.7,45.1,54.8,67,68.2,70,61.6,55.1,36.6,34.2,17.7,25.3,34.9,43.4,58.9,63.4,70,70.2,60.2,48.9,41.3,28.7,,,,,,,
Cattaraugus County,20.5,25.6,29.7,45.1,55.8,62.3,69.9,65.9,61.6,50.9,33.4,30.1,28.4,27.7,39.5,41.3,53.7,64.7,73,67.5,58.9,48.9,42.6,29.9,26.2,22.1,36.8,45.7,53.9,66.5,67.8,70.2,61.7,56.4,37.3,34.8,17.8,24.5,34.9,44.2,58.1,64.2,68.3,67.8,60.7,47.4,40.6,28.4,,,,,,,
Cayuga County,20.9,25.8,30.6,44.6,54.4,63.2,71.3,66.9,61.3,50.8,34.2,28.6,29.2,27.4,38.4,41.1,54.9,66.4,71.6,70.2,60.8,50.4,43.8,31.2,26,22.9,36.9,45.8,55.4,68.2,68.1,71.3,62.8,56.4,38.9,35.3,18.1,25.4,35.3,44.5,59.1,64.5,70.4,70.4,61,50,42.7,29.9,,,,,,,
Chautauqua County,22.1,26.4,30.4,45.6,57,63.8,71.3,67.9,63.8,52.4,35.1,31.6,30.3,28.8,40.3,42.8,55.1,66.1,74,69,60.6,50.2,44,31.4,27.4,23.1,38.6,46.9,55.2,68.2,69.1,71.9,63.5,57.7,38.8,36.3,19.1,25.7,36.3,44.7,59.7,65.4,69.7,69.4,62,49,42,30.3,,,,,,,
Chemung County,22.1,27.3,31.6,46.5,56.8,64,71.9,67.7,62.3,51.4,34.7,28.5,30,29.2,39,41.7,54.7,65.4,73.1,70.4,60.4,50.6,42.3,30.6,27,23.4,37.3,46.2,55.3,67.8,69.1,71.1,62.7,56.4,37.6,34.5,17.7,25,36,45.4,58.8,64.8,70.2,70.3,61.8,48.8,41.4,28.8,,,,,,,
Chenango County,20.1,25.3,29.5,44.8,54.4,61.6,70,65.4,59.8,50,33,26.6,27.8,27,37,40.1,53.3,63.6,73.8,67.8,59.2,49,41.2,29.2,23.7,21.9,34,43.8,53.2,65,66.9,68.7,60.5,54.1,35.6,32.6,15.7,23.4,33.2,42.4,57.8,62.3,68.6,69.1,59.7,48.1,40.7,27.7,,,,,,,
Clinton County,14,17.7,26.6,40.9,51.3,62.3,71.2,65.8,58.1,48.2,29,23.8,22.7,21.3,33.9,39.2,53.9,64.6,71.9,66.5,57.2,47,39.5,27.4,19.2,16.7,32.4,45.1,55,67,65.8,70.3,60.2,51.7,34.9,27.1,8.5,18.6,30.6,42.3,58.3,62.9,68.4,68.2,58.4,49.1,39,28,,,,,,,
Columbia County,23.7,27.3,33.2,48.6,57.2,66,73.5,69.5,61.8,52.4,35.9,29.2,30.8,31.6,40.6,44.4,57.3,67.9,72.1,71.2,62,52.5,43.7,32.3,26.5,25.9,37.6,49,58,69.6,71,72.5,64.4,56.3,39.5,35.9,20.6,27.8,36.8,47.3,60.9,66.2,73,73.4,62.5,51.4,43.4,31.3,,,,,,,
Cortland County,19.3,24.8,28.7,43.8,53.5,61.6,69.8,64.9,59.2,49.2,32.4,26.7,27.2,25.9,36.2,39.2,52.8,64,75.7,68,58.7,48.4,41.3,28.8,23.4,21.2,34,43.5,53.3,65.8,66.7,69.1,60.6,54.2,35.9,32.8,15.4,23.1,32.8,42.3,57.4,62.3,68.7,68.7,59.2,47.9,40.5,27.6,,,,,,,
Delaware County,20.4,25,28.8,44.5,53.9,60.7,68.7,64.7,58.8,49.3,32.4,25.9,27.5,28,36.8,39.6,52.5,61.9,71.8,66.6,58,48.5,40.5,29.5,23.6,22.3,33.4,44.1,52.3,64.1,67,67.9,60.2,53.9,35,32.3,16.7,24.7,33.3,42.2,57,60.6,67.6,68.5,58.8,47,39.6,27.5,,,,,,,
Dutchess County,25.5,29.3,35.5,50.1,58.4,67.1,75.5,71,63.7,53.8,36.5,30.7,31.9,33.2,41.9,45.2,57.6,69.6,70.4,73.1,63.4,53.2,45.1,32.8,27.7,26.6,39.7,50,58.3,70.8,72,74.1,65.2,57.7,39.7,36.7,22.6,29.7,39.3,48.1,62,67.2,75.5,75.9,64.2,52.2,43.7,32.1,,,,,,,
Erie County,21.9,26.3,30.5,44.6,54.6,64.1,72,68.5,63.6,52.1,34.7,31.7,31.1,28.2,40.3,42.9,55.2,66.6,77,70.2,61.5,50.7,44.9,32.1,27.7,22.8,38.3,46.9,55.2,68.9,69.3,72.7,64,57.6,39.7,36.4,19.6,26.2,36.6,44.5,59.8,66,70.6,70.2,62.5,50.3,42.6,30.8,,,,,,,
Essex County,13.3,18.1,24.8,39.8,49.7,59.7,67.8,62.8,55.7,45.8,27.7,22,22.3,20.7,31.4,37.2,51.2,61.3,74.5,64.5,55.4,44.6,36.1,25.4,18.6,16.8,29.2,42.1,51.6,64.3,63.3,67.3,57.9,50.3,32.6,26.5,8.9,17.8,28.5,39.7,55.2,60.1,65.7,66.6,56.5,45.7,37,25.7,,,,,,,
Franklin County,12.3,17.9,24.7,39.8,50,60.4,68.9,63.4,56.2,46.6,27.3,22.6,22.2,20.4,32.5,38,52.1,62.8,69.4,65,56,45,38.2,26,18.2,16.4,30.2,43.4,52.8,65.3,63.9,68.5,58.1,50.9,33.3,26.3,7.7,17.6,29.1,40.6,56.5,61.4,66.6,66.9,57.1,46.9,37.3,26.7,,,,,,,
Fulton County,17.6,22.4,28.4,44,53.6,62.2,70,66.1,58.5,48.9,31.8,24.7,26,25.3,35.6,40.8,54.1,64.9,70.7,67.7,58.7,48,39.9,28.8,22.3,21.1,32.7,45,54.6,66,66.7,69.3,61,53.2,35.3,30.9,14.7,22.7,31.6,43,58.4,63,69.1,69.6,59.4,48.4,40.1,27.7,,,,,,,
Genesee County,20.6,25,30.3,44.6,54.5,64,72,68,62.6,51.6,33.7,30.4,29.5,26.8,39.2,41.3,54.8,66.8,71.8,69.6,61.2,49.9,44.8,31.3,26.8,21.5,37.9,46.6,55.4,69.3,68.7,72.1,63.3,56.3,39.2,35.3,18.2,24.9,35.9,44.6,59.4,66.4,70.8,70.1,61.8,49.9,42.3,30.2,,,,,,,
Greene County,21.5,25.6,30.5,46.1,55.3,62.9,70.4,66.6,59.3,50,33.6,27.3,28.7,29.9,38.4,41.7,54.6,64.5,74.3,68.4,59.3,50,41.7,30.6,25.1,23.5,35,46.6,54.6,66.4,68.1,69.4,61.8,54.8,37,34.3,18.6,25.7,34.5,44.7,58.4,63.1,69.8,70.6,60.1,48.5,41.4,29.6,,,,,,,
Hamilton County,12.8,17.7,23.3,39,49.9,59,66.7,61.8,55.1,45.4,27.9,22,22.4,20.5,30.7,37.3,50.7,60.2,72.6,64.1,54.9,44,36,24.7,18.3,17.2,28,41.6,51.1,63,63,66.2,57.2,50.1,31.8,25.9,9.3,17.6,27.4,39.2,54.7,59.2,64.6,65.9,56.2,45,36.6,25,,,,,,,
Herkimer County,14.7,19.9,25.4,41.2,51.5,60.6,68.5,64,57.6,47.6,29.6,23.4,23.9,22.5,33,38.2,52.4,62.7,68.2,66.3,57.6,46.3,38.6,26.6,19.6,18.8,30.6,42.7,52.5,64.8,64.9,67.7,59,52.2,33.8,28.7,10.7,19.7,29.4,40.8,56.8,61,66.6,67,57.9,46.7,38.3,26,,,,,,,
Jefferson County,15.9,22.1,27.5,43,52.8,62.7,71.5,67,59.7,50,31.5,25.4,26.1,24,36,40.9,53.7,65.5,70.7,68.7,59.3,47.8,42.4,29,21.7,19,34.1,45.8,54.6,68,67.2,71.4,61.3,54.6,37.3,31.2,10.6,21.5,31.9,43.8,58.8,64,69.7,70.3,60.4,49.6,40.4,29.2,,,,,,,
Kings County,32.8,35.9,40.8,54.1,61.8,71.7,79.9,76.1,70.5,60.1,43.5,38.2,39.2,40.1,47.4,49.4,59.7,73.4,74.2,77.4,69.1,58.5,51.9,39.1,35.3,33.6,44.9,53.3,62,73.5,76.8,77.8,71,63.1,46.3,43.5,30.5,36.7,44.5,51.7,63.7,71.5,80.2,79.6,69.8,56.8,50.4,38.1,,,,,,,
Lewis County,14,19.6,25.2,41.2,51.1,60.8,68.5,64.2,57.6,47.6,29.4,23.4,23.8,22,33.2,38.6,52.1,63,80.6,66.5,57.4,45.9,39.1,26.4,19.3,17.6,31.2,43.4,52.6,65.4,64.7,68.2,58.9,52.6,34.6,28.7,9.1,19.3,29.3,41.5,57.1,61.5,66.8,67.3,58.1,47.3,38.2,26.4,,,,,,,
Livingston County,22.1,27.2,31.4,45.8,56,64,71.9,67.8,62.7,52.1,34.6,30.6,30.5,28,39.8,41.8,55.3,66.9,71.2,70,61.2,50.4,44.7,31.6,27.5,22.6,38.5,47.1,55.9,69.6,69.1,72.1,63.5,56.8,39.3,35.9,18.6,25.8,36.5,45.6,59.8,66.3,71,70.7,62.1,50,42.7,30.6,,,,,,,
Madison County,18.8,24.5,29.2,44.3,53.8,61.9,70.3,65.6,60,49.9,32.7,26.6,26.8,25.5,36,40,53.4,64.3,74.2,68.4,59.6,48.7,41.3,29,22.8,21.1,33.7,44.3,54.1,66.3,67.5,70,61.3,54.8,36.4,32.6,14.5,22.6,32.8,42.7,58.2,62.5,68.9,69.7,60.2,48.6,40.8,27.5,,,,,,,
Monroe County,22.5,26.9,31.8,45.2,54.9,64.5,72.8,69,63.1,52.2,34.9,31.1,30.6,28.2,39.8,42.1,55.1,67.7,72.4,70.7,62.1,51,46.1,33,27.9,22.9,38.5,47,56.2,70.1,69.4,73.3,64.2,57.1,40.6,36.7,19.3,26.2,36.9,45.6,60,67,71.8,71.8,62.8,50.8,43.4,31.7,,,,,,,
Montgomery County,19,24.8,30.8,46.6,55.9,63.8,71.8,68.1,60.1,50.9,33.9,26.6,27.8,27.6,38.2,42.4,56.1,67.1,75.3,69.8,60.7,50.1,41.9,30.9,24,22.8,34.9,46.4,55.9,68,69.3,71.2,62.7,54.8,36.8,33.6,16.9,25.1,34.2,44.9,60.4,64.9,71.6,71.8,61.2,49.8,42,29.5,,,,,,,
Nassau County,32.1,35.1,39.7,52.5,60.1,70.2,78.6,74.7,68.8,58.9,42.7,37.6,38.4,39.1,46.2,48.3,58.3,71.7,74.1,76,67.7,57.5,50.9,38.4,34.5,33.1,43.6,52,60.6,72,75.2,76.4,69.8,62.1,45.7,42.8,29.9,35.6,43.2,50.5,62.1,69.8,78.4,78.3,68.7,56.3,49.7,37.4,,,,,,,
New York County,32.5,35.7,40.7,54.3,62,71.8,80,76,70.3,59.9,43.2,37.9,39.1,39.9,47.4,49.6,60.1,73.7,79.1,77.5,68.9,58.2,51.9,39,35,33.4,44.8,53.5,62.1,73.9,76.7,77.8,70.6,62.8,46,43.2,30.2,36.5,44.4,51.8,64,71.5,80,79.5,69.6,56.6,50,37.8,,,,,,,
Niagara County,21.5,26.1,30.7,44.4,54.2,64.7,72.9,69.4,64.2,52.4,34.7,31.9,31.4,28.4,40,43.1,55.3,67.1,80.8,71.2,62.4,51,45.4,32.6,28.2,22.6,38.7,47.2,55.4,69.4,70,73.5,64.3,57.2,40.1,36.3,19.6,25.9,36.8,44,60.3,67,71.2,71.1,62.8,51,42.6,31.8,,,,,,,
Oneida County,17.7,23,28.2,43.7,53.5,62.5,70.8,66.2,60.3,49.6,32.1,26.2,26.5,25,35.5,40.2,53.8,64.8,75.6,68.6,59.8,48.2,41,28.9,22.2,20.8,33.4,45,54.4,66.9,67.2,69.9,61.3,54.8,36.4,31.6,13.5,22.2,32.2,43,58.7,62.8,69.1,69.3,60.3,48.8,40.4,27.8,,,,,,,
Onondaga County,20.3,25.5,30.7,45.3,54.7,63.4,71.8,67.3,61.6,51.2,34.1,28.5,28.9,27.1,38.1,41.7,55,66.7,73,70.5,61.2,50.1,43.5,31.3,25.3,23,36.4,46.4,56,69,69,72.2,63.2,56.6,38.8,35.2,17.2,25.2,35,44.3,59.6,64.3,70.9,71.3,61.6,50.3,42.7,29.9,,,,,,,
Ontario County,21.8,26.6,31.1,45,55.1,63.7,71.8,67.7,62.1,51.2,34.6,30,30,27.8,39.2,41.3,55.1,66.9,74.4,69.9,60.9,50.2,44.8,31.4,27.2,22.8,37.8,46.5,55.9,69.2,68.7,71.9,63.3,56.3,39.4,35.5,18.5,25.5,36,45.1,59.4,66,70.8,70.6,61.8,50,42.7,30.3,,,,,,,
Orange County,25.9,29.4,35,50.1,58.7,66.8,74.9,70.8,64.3,54,36.8,30.9,32,33.4,41.6,44.8,57.2,68.6,74.1,72.4,63.2,53,44.7,32.8,28.3,26.2,39.1,49.6,57.8,69.5,72,73.4,65.2,58,40,36.9,22.9,29.4,38.6,47.4,61,66,74.4,75.1,64,51.2,43.3,31.2,,,,,,,
Orleans County,20.2,24.9,30.7,44.4,54.3,64.4,72.8,69.2,63.6,52,34,30.8,29.6,27,39.2,41.7,54.9,67.2,75.9,70.8,62.2,50.9,45.9,32.5,27.4,21.8,38.1,47,55.8,69.8,69.4,73.3,64,57,40.4,36.5,19,25.7,36.5,44.8,59.8,67.1,71.6,71.3,62.6,50.9,42.8,31.4,,,,,,,
Oswego County,19.2,24.1,29.8,44.4,53.6,62.8,71.6,67.1,61.2,51,33.6,27.9,27.9,26.1,37.4,41.7,54.6,66.2,75.3,70,60.8,49.3,43,31,24.5,22.4,35.8,46.4,55.2,68.6,68.2,71.7,62.6,56.1,38.3,34.2,15.6,24.2,34.2,44.2,59.5,64.1,70.3,70.9,61.6,50.1,42,29.9,,,,,,,
Otsego County,18.8,24.1,28.5,44,53.5,60.8,68.9,64.7,58.5,49.4,32,25.3,26.7,26,36.2,39.2,52.9,62.4,74.3,67,58.7,48.7,40.6,29.3,22.6,21.3,32.8,43.1,52.4,64.5,66.5,68.2,60.1,53.3,34.6,31.9,14.9,23.4,32.3,41.8,57.4,61.3,67.5,68.4,58.9,47.2,40.1,27.4,,,,,,,
Putnam County,26.3,30.4,36,50.5,58.9,67.2,75.6,71.6,64.9,55.2,37.6,31.8,32.7,34.1,42.1,45.6,57.3,69.9,70.8,73.4,64,54,45.7,33.2,28.6,27.5,40,50,58.2,70.5,72.3,74.4,66,58.7,41,37.8,24.1,30.8,40.3,48.6,62.6,67.4,76,76.4,65.7,52.9,44.5,32.5,,,,,,,
Queens County,32.4,35.5,40.4,53.3,61,71.2,79.4,75.6,69.8,59.4,43.1,38,38.8,39.6,46.9,49,59,72.8,77.2,76.8,68.5,57.9,51.5,38.8,35,33.5,44.4,52.7,61.5,73,76,77.2,70.4,62.6,46.2,43.3,30.3,36.2,43.9,51.2,63,70.9,79.5,79.1,69.4,56.6,50.1,37.7,,,,,,,
Rensselaer County,21.7,25.8,32.3,47,56.2,64.9,72.5,68.3,60.8,51.7,34.5,27.9,29.6,28.9,39.1,43.5,56.7,67.1,80.1,69.6,60.9,51.2,42.6,30.8,24.6,24,36.2,47.6,56.7,68.6,69.6,71.6,63.1,55.4,37.6,34.8,19,26.5,35.6,46,60.6,65.3,72.1,72.4,61.6,51,42.5,30.2,,,,,,,
Richmond County,32.9,36.1,40.7,55.1,62.7,71.8,80,76,70.6,60.1,43.3,37.7,39.1,40.3,47.4,49.7,60.3,73.5,74.2,77.5,69.1,58.5,51.4,38.8,35.2,33.4,44.9,53.6,62.4,73.6,77.5,77.8,70.9,63,45.9,42.9,30.2,37,44.8,52.1,64.3,71.8,80.7,79.5,69.7,56.2,50,37.7,,,,,,,
Rockland County,28.2,32,37.4,52.2,60.2,68.9,77.2,73.1,66.8,56.5,39.3,33.8,34.8,36.1,44,47.2,58.5,70.9,80.7,74.8,65.6,55.2,47.5,35.2,30.5,29.1,41.3,51.4,59.7,71.4,74.2,75.1,67.4,59.9,42.3,39.3,25.7,32.1,41.2,49.7,62.9,68.5,76.7,76.9,66.6,53.2,45.8,33.5,,,,,,,
St. Lawrence County,13.1,19,25.9,41.2,52,62,70.5,65.5,57.8,48.1,29.5,23.9,23.5,21.8,34.2,39.9,53.3,64.7,78.2,67.1,57.5,46.3,40,27.6,19.7,17.6,32.2,45.2,54.2,66.6,65.6,70.2,59.8,52.5,35.2,28.3,8.6,19.1,30,42.6,58,63,68.3,68.7,58.7,48.4,38.9,28,,,,,,,
Saratoga County,20,23.7,30.6,45.8,55.4,64.7,72.4,67.8,60.2,50.3,33.2,26.4,27.6,26.7,37.5,43,55.7,66.8,72.9,69.2,59.8,49.3,41,29.9,23.5,22.4,34.9,47,56.5,67.9,68.6,71.2,62.5,54.4,36.8,32.7,16.8,24.4,33.8,45.1,60,65,71.7,71.7,60.9,50.1,41.4,29.4,,,,,,,
Schenectady County,20.5,25.3,31.8,47.2,56.4,64.7,72.5,68.7,60.8,51.5,34.5,27.3,29.1,28.9,39.2,43.6,56.8,67.7,73.6,69.9,60.7,50.5,41.8,30.7,24.5,23.2,35.8,47.5,56.6,68.2,69.3,71.5,63.1,55.4,37.6,34.3,18.2,25.8,35.1,45.8,60.7,65.3,72.5,72.7,61.8,50.6,42.4,30.2,,,,,,,
Schoharie County,18.6,24.5,29.6,44.9,54.2,61.3,69.1,65.8,58.1,49.3,32.7,25.6,27,27.8,37.1,40.4,53.9,63.9,74.2,67.6,58.8,49.2,40.7,30,23.6,22,33.5,45,53.3,65.3,67.2,68.7,60.9,53.7,35.4,32.8,16.5,24.7,33.5,43.4,58.3,62.5,69.1,69.8,59.3,47.8,40.8,28.6,,,,,,,
Schuyler County,21.3,26.5,30.7,45.3,55.7,63.4,71.3,66.9,61.6,50.9,34.2,28.2,29.3,27.7,38.4,41,54.4,65.5,71.6,69.7,60.2,50.1,42.7,30,26.4,22.7,36.8,45.6,55.2,67.7,68.2,70.8,62.5,55.9,37.6,34.3,17.4,24.4,35.6,44.7,58.7,64.6,69.8,69.9,61.3,49,41.6,28.8,,,,,,,
Seneca County,22,26.8,31.4,45.2,55.2,64.2,72.3,67.9,62.2,51.3,35.1,29.7,30.1,28.2,39.3,41.7,55.5,67.2,73.2,70.7,61.5,51,44.7,31.8,27.2,23.5,37.9,46.5,56.2,69.1,68.9,72,63.5,56.8,39.6,36,19.1,26,36.3,45.3,59.8,65.9,71.3,71,61.8,50.5,43.2,30.4,,,,,,,
Steuben County,21.5,26.6,30.5,45.5,55.7,62.8,70.6,66.4,61.4,50.7,33.9,28.4,29.2,27.6,38.4,40.9,53.9,65.1,74.7,69.1,59.7,49.4,42.8,29.6,26.4,22.4,36.9,45.9,54.7,67,67.9,70.3,61.9,55.6,37.5,34.2,17.3,24.3,35.2,44.5,58.2,64.5,69.2,69.4,60.8,48.3,41.1,28.7,,,,,,,
Suffolk County,31.6,33.8,38.1,50.8,58.2,67.8,76.4,72.8,66.3,57.3,41.9,36.6,37,37.4,44,45.8,56.5,69,72.5,74.3,66.1,56.5,48.6,37.5,33,32.1,41.7,50,58.4,69.6,73.4,74.6,68.5,60.5,44.2,41.3,29.3,34.2,41.8,48.9,60.5,67.5,75.7,76.2,66.9,55.6,48.2,37.2,,,,,,,
Sullivan County,22.6,26.9,31.2,47.5,55.9,63.4,71.2,66.6,61.5,50.9,34.4,27.8,29.4,30.6,38.8,41.8,54.2,64.8,76.7,68.7,59.7,49.8,42.4,30.9,25.5,24,35.8,46.6,54.7,66.1,68.9,70,61.4,55.2,37.4,34.1,19.2,26.4,35.2,44.6,58.3,62.4,70.4,71.1,60.5,48.6,41.2,28.8,,,,,,,
Tioga County,21.3,26.8,30.9,46.1,55.7,63.5,71.6,66.8,61.2,50.6,33.8,28.5,29.2,29.1,38.4,40.9,54.3,65.2,72.4,69.5,60.2,49.8,42.4,30.6,25.9,23.3,36.5,45.4,55,67.9,68.7,70.7,62.1,55.8,37.1,34.5,17.6,25.3,35.4,44.3,58.7,64.2,70.3,69.9,60.6,48.6,41.3,28.8,,,,,,,
Tompkins County,20.5,26.1,29.9,44.8,54.9,63.1,71.1,66.1,60.4,50,33.6,28,28.6,27.2,37.9,40.5,54.2,65,73.8,69.3,59.7,49.7,42.5,30,25.2,22.4,36.1,44.9,54.6,67.3,68,70.4,62.2,55.6,37.1,33.9,16.8,24.6,34.6,44.1,58.5,63.8,70,69.5,60.6,48.6,41.4,28.6,,,,,,,
Ulster County,23.1,27.5,32.8,47.9,56.1,64.4,72.5,68,61.6,51.4,34.9,29.1,30.2,31.3,40.1,42.9,55.7,66.5,73,70.4,61.1,51,43.8,31.6,26,24.8,37.1,47.9,55.9,68,70,71.5,62.8,56.4,37.9,35,20.3,27.5,36.5,45.6,59.6,64.1,72,72.8,61.6,49.7,41.8,30,,,,,,,
Warren County,16.8,20.7,27.3,42.1,52.5,61.6,69.7,64.8,57.4,47.7,30.7,24,24.5,23,33.7,40.2,53,63.2,74,66.3,57,46.6,38.1,27.5,21.1,19.6,31.3,44.3,53.9,65.4,65.6,68.6,59.8,52.1,34.5,29,12.9,20.6,30.2,42,57.1,62,67.9,68.8,58.3,47.3,39,26.9,,,,,,,
Washington County,20,23.6,30.9,45,55.2,64.1,72.2,67.5,59.4,50.1,33,26.3,26.9,25.5,36.6,42.5,55.4,66.1,70.9,68.6,59.3,49.4,40.4,29.7,23.1,21.9,34.4,46.5,56,68,68.1,71,61.7,54,36.6,32.4,16.4,23.7,33.5,44.6,59.7,64.5,71,71.3,60.4,49.5,41.2,28.8,,,,,,,
Wayne County,22,25.8,30.6,44.2,53.6,63.1,71.7,67.8,61.8,51.1,34.9,29.8,29.5,27.3,38.7,41.4,54.7,67,73.8,70.3,61.2,50.5,45,32.2,27.2,23,37.4,46.5,55.5,68.6,68.3,72,63.3,56.4,39.8,35.8,18.1,25.3,35.9,44.8,59,65.3,70.6,71,61.8,50.3,43.3,31.1,,,,,,,
Westchester County,29.1,32.8,37.8,52.1,60,69.1,77.4,73.1,66.9,57,40,34.8,35.5,36.6,44.1,47.5,58.2,71.1,74.4,74.7,65.7,55.4,48.2,35.5,31.1,30.1,41.6,51.4,59.6,71.6,74,75.3,67.6,60,43,40,26.6,33.1,41.8,50,63.3,69,77.4,77.5,67.2,54.4,46.9,34.6,,,,,,,
Wyoming County,19.9,24.8,29.4,44.2,54.3,62.6,70.4,66.4,61.4,50.9,33,29.4,28.8,26.4,38.9,40.7,54.1,65.4,78.4,68,59.8,49,43.3,29.9,25.7,20.8,37.2,45.8,54.2,67.8,67.5,70.4,62,55.6,37.8,34,17,24.1,34.6,44,58.4,64.8,69.2,68.6,60.7,48.9,41.4,28.8,,,,,,,
Yates County,21.7,26.7,31.4,45.1,55.4,63.8,71.8,67.5,62.1,51.1,34.6,29.5,30,27.9,39.2,41.4,55.1,67,72.5,70,60.9,50.2,44.4,31,27.1,22.9,37.9,46.4,56.1,69.3,68.6,71.6,63.1,56.1,39.1,35.2,18.5,25.4,36.3,44.9,59.4,66.1,70.6,70.5,61.5,49.9,42.6,29.8,,,,,,,
,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
